Game_ID,Event_Index,Game_Date,Game_Code,Period,Home_Team,Visitor_Team,Description,Home_Points_Before,Home_Points_After,Visitor_Points_Before,Visitor_Points_After,Point_Change,Score_Diff,Score_Diff_After,Video_Link,Thumbnail_Link,Event_Link
0022500630,491,2026-01-22,2026-01-22/GSWDAL,3,DAL,GSW,Curry 25' 3PT Step Back Jump Shot (20 PTS),72,72,69,72,3,3,0,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/491/cdbfe203-72e5-e193-d608-9c053b786a09_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/491/cdbfe203-72e5-e193-d608-9c053b786a09_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=491&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+25%27+3PT+Step+Back+Jump+Shot+%2820+PTS%29
0022500630,65,2026-01-22,2026-01-22/GSWDAL,1,DAL,GSW,Curry 28' 3PT Pullup Jump Shot (9 PTS),9,9,6,9,3,3,0,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/65/6a3fc50b-8666-0e45-b43f-97b805b49c21_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/65/6a3fc50b-8666-0e45-b43f-97b805b49c21_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=65&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+28%27+3PT+Pullup+Jump+Shot+%289+PTS%29
0022500630,57,2026-01-22,2026-01-22/GSWDAL,1,DAL,GSW,Curry 26' 3PT Pullup Jump Shot (6 PTS) (Richard 1 AST),7,7,3,6,3,4,1,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/57/291fd01e-b342-7025-3528-65c2dacf3f0a_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/57/291fd01e-b342-7025-3528-65c2dacf3f0a_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=57&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+26%27+3PT+Pullup+Jump+Shot+%286+PTS%29+%28Richard+1+AST%29
0022500630,38,2026-01-22,2026-01-22/GSWDAL,1,DAL,GSW,Curry 26' 3PT Jump Shot (3 PTS) (Podziemski 1 AST),6,6,0,3,3,6,3,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/38/39615fbf-81f6-54c8-6e20-8bcc0838d35c_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/22/0022500630/38/39615fbf-81f6-54c8-6e20-8bcc0838d35c_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=38&GameID=0022500630&Season=2025-2026&flag=1&title=Curry+26%27+3PT+Jump+Shot+%283+PTS%29+%28Podziemski+1+AST%29
0022500618,392,2026-01-20,2026-01-20/TORGSW,3,GSW,TOR,Curry 27' 3PT Pullup Jump Shot (15 PTS) (Green 4 AST),50,53,73,73,3,23,20,https://videos.nba.com/nba/pbp/media/2026/01/20/0022500618/392/c50a8639-e663-2a20-9070-3de273ecde09_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/20/0022500618/392/c50a8639-e663-2a20-9070-3de273ecde09_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=392&GameID=0022500618&Season=2025-2026&flag=1&title=Curry+27%27+3PT+Pullup+Jump+Shot+%2815+PTS%29+%28Green+4+AST%29
0022500618,364,2026-01-20,2026-01-20/TORGSW,2,GSW,TOR,Curry 28' 3PT Jump Shot (12 PTS) (Hield 2 AST),47,50,70,70,3,23,20,https://videos.nba.com/nba/pbp/media/2026/01/20/0022500618/364/2ca9093e-a328-54d9-7101-5a5b27bd8860_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/20/0022500618/364/2ca9093e-a328-54d9-7101-5a5b27bd8860_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=364&GameID=0022500618&Season=2025-2026&flag=1&title=Curry+28%27+3PT+Jump+Shot+%2812+PTS%29+%28Hield+2+AST%29
0022500612,502,2026-01-19,2026-01-19/MIAGSW,3,GSW,MIA,Curry 25' 3PT Step Back Jump Shot (16 PTS),82,85,75,75,3,7,10,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/502/cdff7f09-284c-0ecb-0e4d-4e6836cb8916_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/502/cdff7f09-284c-0ecb-0e4d-4e6836cb8916_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=502&GameID=0022500612&Season=2025-2026&flag=1&title=Curry+25%27+3PT+Step+Back+Jump+Shot+%2816+PTS%29
0022500612,354,2026-01-19,2026-01-19/MIAGSW,2,GSW,MIA,Curry 28' 3PT Pullup Jump Shot (11 PTS),60,63,57,57,3,3,6,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/354/5a5e7043-5233-7210-cb3f-baf08b696a49_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/354/5a5e7043-5233-7210-cb3f-baf08b696a49_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=354&GameID=0022500612&Season=2025-2026&flag=1&title=Curry+28%27+3PT+Pullup+Jump+Shot+%2811+PTS%29
0022500612,350,2026-01-19,2026-01-19/MIAGSW,2,GSW,MIA,Curry 27' 3PT Jump Shot (8 PTS) (Horford 1 AST),57,60,54,54,3,3,6,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/350/0cb893d9-13d0-89c4-cdaa-870693658833_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/350/0cb893d9-13d0-89c4-cdaa-870693658833_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=350&GameID=0022500612&Season=2025-2026&flag=1&title=Curry+27%27+3PT+Jump+Shot+%288+PTS%29+%28Horford+1+AST%29
0022500612,95,2026-01-19,2026-01-19/MIAGSW,1,GSW,MIA,Curry 24' 3PT Step Back Jump Shot (3 PTS) (Podziemski 1 AST),12,15,15,15,3,3,0,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/95/5ff600ce-251a-27a6-e3f5-371a7fce7fbd_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/19/0022500612/95/5ff600ce-251a-27a6-e3f5-371a7fce7fbd_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=95&GameID=0022500612&Season=2025-2026&flag=1&title=Curry+24%27+3PT+Step+Back+Jump+Shot+%283+PTS%29+%28Podziemski+1+AST%29
